,t1,t2,t3,t4
0,1708607394.885561,1708607388.235365,1708607388.243806,1708607394.967825
0,1708607394.98997,1708607388.339421,1708607388.34372,1708607395.068944
0,1708607395.086325,1708607388.434928,1708607388.442453,1708607395.17386
0,1708607395.200842,1708607388.55335,1708607388.5607069,1708607395.282809
0,1708607395.308885,1708607388.657467,1708607388.6617348,1708607395.389412
0,1708607395.415921,1708607388.767195,1708607388.776447,1708607395.498112
0,1708607395.518355,1708607388.868323,1708607388.871562,1708607395.59969
0,1708607395.623743,1708607388.97405,1708607388.9838421,1708607395.70777
0,1708607395.731921,1708607389.082113,1708607389.0905561,1708607395.814374
0,1708607395.838062,1708607389.189432,1708607389.192636,1708607395.915604
0,1708607395.937311,1708607389.287307,1708607389.294446,1708607396.012633
0,1708607396.034819,1708607389.383436,1708607389.39031,1708607396.112961
0,1708607396.141302,1708607389.491002,1708607389.4994211,1708607396.224109
0,1708607396.249446,1708607389.599669,1708607389.609544,1708607396.326627
0,1708607396.350414,1708607389.700403,1708607389.700403,1708607396.42853
0,1708607396.453265,1708607389.80261,1708607389.806691,1708607396.53408
0,1708607396.558169,1708607389.909305,1708607389.9160771,1708607396.641033
0,1708607396.665211,1708607390.01498,1708607390.01498,1708607396.752982
0,1708607396.77949,1708607390.131036,1708607390.147496,1708607396.874734
0,1708607396.899615,1708607390.252161,1708607390.255936,1708607396.973808
0,1708607396.991604,1708607390.341446,1708607390.3482819,1708607397.070096
0,1708607397.091325,1708607390.443619,1708607390.450222,1708607397.173102
0,1708607397.199908,1708607390.54882,1708607390.561781,1708607397.282788
0,1708607397.309469,1708607390.660228,1708607390.666715,1708607397.390184
0,1708607397.414753,1708607390.765087,1708607390.7736359,1708607397.488922
0,1708607397.504898,1708607390.854287,1708607390.8649979,1708607397.582821
0,1708607397.608439,1708607390.959405,1708607390.963573,1708607397.692397
0,1708607397.71744,1708607391.068186,1708607391.075366,1708607397.807071
0,1708607397.831961,1708607391.182458,1708607391.186774,1708607397.909751
0,1708607397.931315,1708607391.281116,1708607391.287854,1708607398.009094
0,1708607398.028364,1708607391.377009,1708607391.380852,1708607398.109317
0,1708607398.13627,1708607391.486467,1708607391.4918408,1708607398.217218
0,1708607398.241429,1708607391.59251,1708607391.599037,1708607398.326237
0,1708607398.352181,1708607391.703133,1708607391.7129772,1708607398.440066
0,1708607398.463976,1708607391.813181,1708607391.8247519,1708607398.550088
0,1708607398.575587,1708607391.927284,1708607391.930959,1708607398.668751
0,1708607398.6936,1708607392.044743,1708607392.049083,1708607398.776272
0,1708607398.800287,1708607392.151942,1708607392.159384,1708607398.890242
0,1708607398.913023,1708607392.263176,1708607392.275414,1708607398.998507
0,1708607399.017621,1708607392.367701,1708607392.376183,1708607399.096754
0,1708607399.11544,1708607392.464574,1708607392.47121,1708607399.193709
0,1708607399.214483,1708607392.56423,1708607392.580003,1708607399.300475
0,1708607399.318918,1708607392.668636,1708607392.668636,1708607399.398955
0,1708607399.423906,1708607392.772595,1708607392.776953,1708607399.505505
0,1708607399.530397,1708607392.880934,1708607392.889598,1708607399.613131
0,1708607399.637708,1708607392.986917,1708607392.995375,1708607399.718348
0,1708607399.74525,1708607393.096815,1708607393.1022851,1708607399.830034
0,1708607399.850917,1708607393.200092,1708607393.204391,1708607399.935387
0,1708607399.960261,1708607393.31014,1708607393.31014,1708607400.040633
0,1708607400.067735,1708607393.417189,1708607393.425664,1708607400.1494
0,1708607400.173781,1708607393.5273,1708607393.5306368,1708607400.253802
0,1708607400.27791,1708607393.628713,1708607393.6320229,1708607400.361206
0,1708607400.386521,1708607393.736819,1708607393.740124,1708607400.467493
0,1708607400.492679,1708607393.841499,1708607393.851635,1708607400.573856
0,1708607400.599101,1708607393.947665,1708607393.958642,1708607400.688718
0,1708607400.715356,1708607394.065214,1708607394.073905,1708607400.798965
0,1708607400.821548,1708607394.172174,1708607394.172174,1708607400.901598
0,1708607400.928938,1708607394.28019,1708607394.295532,1708607401.020242
0,1708607401.051147,1708607394.402673,1708607394.411238,1708607401.141502
0,1708607401.159339,1708607394.507417,1708607394.516015,1708607401.24829
0,1708607401.274796,1708607394.623765,1708607394.628145,1708607401.356767
0,1708607401.383713,1708607394.733499,1708607394.733499,1708607401.464207
0,1708607401.488574,1708607394.83953,1708607394.842759,1708607401.571474
0,1708607401.595792,1708607394.94643,1708607394.956982,1708607401.675021
0,1708607401.699891,1708607395.04833,1708607395.059798,1708607401.788594
0,1708607401.814368,1708607395.164416,1708607395.173224,1708607401.898434
0,1708607401.923136,1708607395.273036,1708607395.281693,1708607402.005258
0,1708607402.029784,1708607395.379946,1708607395.384183,1708607402.113728
0,1708607402.13696,1708607395.488024,1708607395.491743,1708607402.221542
0,1708607402.246992,1708607395.596436,1708607395.600414,1708607402.346944
0,1708607402.371789,1708607395.721023,1708607395.721023,1708607402.450873
0,1708607402.472081,1708607395.824502,1708607395.832938,1708607402.550035
0,1708607402.566946,1708607395.91447,1708607395.929626,1708607402.668718
0,1708607402.696459,1708607396.047379,1708607396.057698,1708607402.775146
0,1708607402.799394,1708607396.149657,1708607396.153891,1708607402.875285
0,1708607402.894675,1708607396.245002,1708607396.251483,1708607402.971871
0,1708607402.992351,1708607396.344287,1708607396.3506289,1708607403.069029
0,1708607403.085726,1708607396.435199,1708607396.439389,1708607403.162705
0,1708607403.181982,1708607396.534179,1708607396.539533,1708607403.257451
0,1708607403.276191,1708607396.626506,1708607396.637226,1708607403.353421
0,1708607403.376207,1708607396.726369,1708607396.726369,1708607403.454978
0,1708607403.474947,1708607396.822881,1708607396.839311,1708607403.56004
0,1708607403.580043,1708607396.932652,1708607396.94415,1708607403.664988
0,1708607403.689957,1708607397.041532,1708607397.046334,1708607403.772552
0,1708607403.79598,1708607397.147185,1708607397.158184,1708607403.893155
0,1708607403.917907,1708607397.268442,1708607397.268442,1708607404.000494
0,1708607404.025488,1708607397.377057,1708607397.3813841,1708607404.102287
0,1708607404.11889,1708607397.470128,1708607397.476658,1708607404.197466
0,1708607404.215469,1708607397.56573,1708607397.5788112,1708607404.298181
0,1708607404.323279,1708607397.672825,1708607397.681478,1708607404.40704
0,1708607404.433762,1708607397.784014,1708607397.787359,1708607404.516105
0,1708607404.540514,1708607397.889322,1708607397.904934,1708607404.631928
0,1708607404.656921,1708607398.00649,1708607398.010692,1708607404.730074
0,1708607404.746604,1708607398.092964,1708607398.096961,1708607404.824319
0,1708607404.849239,1708607398.197722,1708607398.2011518,1708607404.936212
0,1708607404.960748,1708607398.31099,1708607398.3153,1708607405.046778
0,1708607405.071362,1708607398.419743,1708607398.423994,1708607405.152199
0,1708607405.176713,1708607398.52772,1708607398.53198,1708607405.255514
0,1708607405.279677,1708607398.628446,1708607398.64468,1708607405.366417
0,1708607405.385982,1708607398.736403,1708607398.736403,1708607405.460504
0,1708607405.479304,1708607398.827928,1708607398.8404841,1708607405.561651
0,1708607405.587233,1708607398.936698,1708607398.945358,1708607405.670595
0,1708607405.697386,1708607399.048927,1708607399.053286,1708607405.780175
0,1708607405.804385,1708607399.155943,1708607399.162423,1708607405.889831
0,1708607405.915351,1708607399.266093,1708607399.274689,1708607405.997389
0,1708607406.019789,1708607399.370582,1708607399.374691,1708607406.111815
0,1708607406.136262,1708607399.485642,1708607399.489307,1708607406.210589
0,1708607406.230966,1708607399.581741,1708607399.5854201,1708607406.311575
0,1708607406.332312,1708607399.684079,1708607399.6971788,1708607406.415637
0,1708607406.440162,1708607399.791427,1708607399.799901,1708607406.521616
0,1708607406.545583,1708607399.895389,1708607399.9069571,1708607406.63533
0,1708607406.663505,1708607400.010358,1708607400.0187242,1708607406.729598
0,1708607406.752305,1708607400.104129,1708607400.11504,1708607406.833994
0,1708607406.856228,1708607400.208306,1708607400.2168941,1708607406.938974
0,1708607406.962479,1708607400.312714,1708607400.320254,1708607407.043913
0,1708607407.069794,1708607400.420513,1708607400.4335928,1708607407.152775
0,1708607407.17861,1708607400.532579,1708607400.54003,1708607407.25415
0,1708607407.27004,1708607400.616207,1708607400.622645,1708607407.34745
0,1708607407.371922,1708607400.723014,1708607400.7314682,1708607407.447569
0,1708607407.464831,1708607400.814836,1708607400.818336,1708607407.537224
0,1708607407.555028,1708607400.905575,1708607400.915704,1708607407.638465
0,1708607407.664436,1708607401.013192,1708607401.026424,1708607407.744176
0,1708607407.773051,1708607401.124441,1708607401.124441,1708607407.855633
0,1708607407.879769,1708607401.230163,1708607401.235543,1708607407.953233
0,1708607407.972034,1708607401.322717,1708607401.333528,1708607408.04784
0,1708607408.069131,1708607401.420697,1708607401.420697,1708607408.144087
0,1708607408.163557,1708607401.512733,1708607401.526,1708607408.247905
0,1708607408.275607,1708607401.629409,1708607401.637963,1708607408.357863
0,1708607408.379405,1708607401.729864,1708607401.738302,1708607408.461009
0,1708607408.483592,1708607401.833244,1708607401.837183,1708607408.56913
0,1708607408.588769,1708607401.940144,1708607401.9485822,1708607408.666396
0,1708607408.683869,1708607402.033617,1708607402.044763,1708607408.755841
0,1708607408.774511,1708607402.124123,1708607402.1280482,1708607408.84712
0,1708607408.863932,1708607402.212377,1708607402.22427,1708607408.945638
0,1708607408.96669,1708607402.316494,1708607402.323058,1708607409.042114
0,1708607409.060458,1708607402.409104,1708607402.417709,1708607409.135108
0,1708607409.154563,1708607402.504075,1708607402.507441,1708607409.302404
0,1708607409.391623,1708607402.845967,1708607402.857202,1708607409.567505
0,1708607409.586511,1708607402.936095,1708607402.940357,1708607409.664724
0,1708607409.686769,1708607403.03659,1708607403.03659,1708607409.762987
0,1708607409.786073,1708607403.13636,1708607403.140652,1708607409.864776
0,1708607409.889732,1708607403.240855,1708607403.244427,1708607409.971585
0,1708607409.996241,1708607403.345867,1708607403.352396,1708607410.071154
0,1708607410.088381,1708607403.435899,1708607403.448672,1708607410.170759
0,1708607410.19578,1708607403.547064,1708607403.555643,1708607410.272796
0,1708607410.293055,1708607403.643322,1708607403.6475239,1708607410.375182
0,1708607410.39745,1708607403.748377,1708607403.7559872,1708607410.47648
0,1708607410.498856,1708607403.848681,1708607403.858254,1708607410.573553
0,1708607410.59038,1708607403.939903,1708607403.9552991,1708607410.674042
0,1708607410.695948,1708607404.046297,1708607404.0494702,1708607410.772599
0,1708607410.788922,1708607404.138818,1708607404.152942,1708607410.884566
0,1708607410.906164,1708607404.2562,1708607404.26042,1708607410.9843
0,1708607411.006321,1708607404.355167,1708607404.355167,1708607411.092064
0,1708607411.115689,1708607404.467599,1708607404.47186,1708607411.19392
0,1708607411.210811,1708607404.558817,1708607404.565686,1708607411.286921
