,t1,t2,t3,t4
0,1708611751.633753,1708611750.31076,1708611750.322602,1708611751.733969
0,1708611751.870349,1708611750.694378,1708611750.698063,1708611752.110455
0,1708611752.42138,1708611751.51303,1708611751.51303,1708611752.986417
0,1708611753.246067,1708611752.126512,1708611752.130736,1708611753.531102
0,1708611753.716032,1708611752.391167,1708611752.410208,1708611753.85543
0,1708611753.992834,1708611752.739864,1708611752.7529662,1708611754.142324
0,1708611754.331881,1708611753.150527,1708611753.153749,1708611754.559331
0,1708611754.69575,1708611753.379693,1708611753.386453,1708611754.782968
0,1708611754.907598,1708611753.582557,1708611753.59093,1708611754.985726
0,1708611755.133389,1708611753.969643,1708611753.969643,1708611755.379612
0,1708611755.520408,1708611754.197339,1708611754.2091181,1708611755.61508
0,1708611755.746614,1708611754.584699,1708611754.584699,1708611755.99188
0,1708611756.13434,1708611754.8111,1708611754.823046,1708611756.227604
0,1708611756.376181,1708611755.198484,1708611755.202211,1708611756.608912
0,1708611756.799454,1708611755.816201,1708611755.828805,1708611757.274051
0,1708611757.466159,1708611756.642066,1708611756.645507,1708611758.040925
0,1708611758.185681,1708611756.862195,1708611756.865565,1708611758.27413
0,1708611758.421028,1708611757.247076,1708611757.258722,1708611758.656604
0,1708611758.779509,1708611757.462783,1708611757.4712281,1708611758.873344
0,1708611758.994684,1708611757.670891,1708611757.6743171,1708611759.074792
0,1708611759.196802,1708611757.872921,1708611757.877115,1708611759.277123
0,1708611759.409295,1708611758.091651,1708611758.099532,1708611759.495719
0,1708611759.632868,1708611758.475707,1708611758.4857612,1708611759.882283
0,1708611760.029239,1708611758.709908,1708611758.725035,1708611760.126109
0,1708611760.261742,1708611759.115636,1708611759.127464,1708611760.527929
0,1708611760.752993,1708611761.136799,1708611761.14661,1708611762.55445
0,1708611762.696157,1708611761.752458,1708611761.76306,1708611763.159747
0,1708611763.969157,1708611762.776639,1708611762.780778,1708611764.192421
0,1708611764.463287,1708611764.209093,1708611764.217374,1708611765.631252
0,1708611765.849941,1708611764.837852,1708611764.845376,1708611766.247854
0,1708611766.389779,1708611765.066209,1708611765.0747151,1708611766.469434
0,1708611766.593346,1708611765.275585,1708611765.285558,1708611766.68652
0,1708611766.827076,1708611765.649891,1708611765.649891,1708611767.066264
0,1708611767.211712,1708611766.053495,1708611766.065865,1708611767.45938
0,1708611767.60249,1708611766.290752,1708611766.297132,1708611767.695216
0,1708611767.843185,1708611766.518484,1708611766.521752,1708611767.924748
0,1708611768.060561,1708611766.736837,1708611766.736837,1708611768.14954
0,1708611768.276207,1708611766.95059,1708611766.95059,1708611768.365637
0,1708611768.50769,1708611767.501382,1708611767.505645,1708611768.913037
0,1708611769.086657,1708611768.921595,1708611768.9384642,1708611770.335901
0,1708611770.468239,1708611769.144845,1708611769.150091,1708611770.551097
0,1708611770.688925,1708611769.534746,1708611769.5447738,1708611770.938966
0,1708611771.055671,1708611769.742505,1708611769.7462602,1708611771.143616
0,1708611771.259115,1708611769.9392,1708611769.9392,1708611771.346165
0,1708611771.484645,1708611770.16033,1708611770.168031,1708611771.679725
0,1708611771.795718,1708611770.470983,1708611770.474724,1708611772.023778
0,1708611772.149885,1708611770.969424,1708611770.975957,1708611772.38029
0,1708611772.499772,1708611771.179549,1708611771.197481,1708611772.600894
0,1708611772.889025,1708611771.992058,1708611772.004401,1708611773.554101
0,1708611773.711254,1708611772.616666,1708611772.6301942,1708611774.140992
0,1708611774.385021,1708611773.221773,1708611773.228441,1708611774.627452
0,1708611774.775612,1708611773.450852,1708611773.457535,1708611774.862597
0,1708611775.000589,1708611773.834952,1708611773.8465912,1708611775.253877
0,1708611775.377978,1708611774.051161,1708611774.05438,1708611775.454753
0,1708611775.567925,1708611774.241857,1708611774.241857,1708611775.647451
0,1708611775.783452,1708611774.45962,1708611774.471632,1708611775.87254
0,1708611775.996288,1708611774.674008,1708611774.693846,1708611776.096282
0,1708611776.229494,1708611775.065566,1708611775.070035,1708611776.486452
0,1708611776.622423,1708611775.297722,1708611775.313354,1708611776.716249
0,1708611776.851429,1708611775.678841,1708611775.678841,1708611777.084511
0,1708611777.288011,1708611776.301649,1708611776.309874,1708611777.744932
0,1708611777.942703,1708611776.741237,1708611776.753186,1708611778.159667
0,1708611778.388181,1708611777.52295,1708611777.526188,1708611778.933432
0,1708611779.069351,1708611777.743101,1708611777.75168,1708611779.146101
0,1708611779.269741,1708611777.954549,1708611777.966007,1708611779.376373
0,1708611779.503453,1708611778.341749,1708611778.348598,1708611779.742008
0,1708611779.926296,1708611778.750049,1708611778.7534902,1708611780.158755
0,1708611780.303358,1708611778.986752,1708611779.002297,1708611780.422294
0,1708611780.580895,1708611779.365818,1708611779.374568,1708611780.789417
0,1708611781.018197,1708611780.85495,1708611780.863333,1708611782.267143
0,1708611782.530169,1708611781.617346,1708611781.624778,1708611783.085384
0,1708611783.242151,1708611782.642797,1708611782.646104,1708611784.086603
0,1708611784.848694,1708611783.666471,1708611783.674967,1708611785.072527
0,1708611785.395891,1708611784.4844,1708611784.5005271,1708611786.042348
0,1708611786.24736,1708611784.924422,1708611784.929744,1708611786.391816
0,1708611786.506149,1708611785.307456,1708611785.311206,1708611786.709134
0,1708611786.829077,1708611785.50204,1708611785.508798,1708611786.90948
0,1708611787.034081,1708611785.706017,1708611785.706017,1708611787.116545
0,1708611787.238674,1708611785.911406,1708611785.92437,1708611787.320338
0,1708611787.442315,1708611786.11922,1708611786.126699,1708611787.531141
0,1708611787.657401,1708611786.331362,1708611786.336901,1708611787.73484
0,1708611787.849623,1708611786.527804,1708611786.53787,1708611787.932482
0,1708611788.048414,1708611786.722177,1708611786.739772,1708611788.142146
0,1708611788.272557,1708611786.947159,1708611786.955631,1708611788.365534
0,1708611788.50251,1708611787.353158,1708611787.356507,1708611788.756061
0,1708611788.883122,1708611787.561408,1708611787.565303,1708611788.975572
0,1708611789.094067,1708611787.766338,1708611787.7742882,1708611789.259372
0,1708611789.487734,1708611788.376536,1708611788.384439,1708611789.788334
0,1708611790.000529,1708611789.000953,1708611789.011631,1708611790.417207
0,1708611790.645368,1708611789.605883,1708611789.618748,1708611791.030866
0,1708611791.154156,1708611789.838484,1708611789.853948,1708611791.264192
0,1708611791.423058,1708611790.133597,1708611790.1493628,1708611791.563322
0,1708611791.727789,1708611790.424058,1708611790.424058,1708611791.828146
0,1708611791.984789,1708611790.65845,1708611790.66161,1708611792.077588
0,1708611792.243088,1708611791.039591,1708611791.043534,1708611792.450941
0,1708611792.623687,1708611791.445045,1708611791.445045,1708611792.841555
0,1708611792.986376,1708611791.652127,1708611791.655865,1708611793.04323
0,1708611793.261047,1708611791.951447,1708611791.958059,1708611794.329087
0,1708611794.566404,1708611793.486669,1708611793.499918,1708611794.892809
0,1708611795.039948,1708611793.716268,1708611793.7332551,1708611795.133638
0,1708611795.285746,1708611794.111569,1708611794.118362,1708611795.529693
0,1708611795.693854,1708611794.521155,1708611794.5280972,1708611795.930137
0,1708611796.059697,1708611794.734747,1708611794.738396,1708611796.154771
0,1708611796.286875,1708611794.960244,1708611794.9666429,1708611796.373989
0,1708611796.513502,1708611795.337505,1708611795.3409102,1708611796.745974
0,1708611796.887927,1708611795.562533,1708611795.566685,1708611796.973418
0,1708611797.112987,1708611796.364654,1708611796.367934,1708611797.93436
0,1708611798.144941,1708611796.976934,1708611796.9838219,1708611798.492785
0,1708611798.717566,1708611797.595058,1708611797.606664,1708611799.044291
0,1708611799.168976,1708611798.001543,1708611798.004928,1708611799.403161
0,1708611799.519967,1708611798.190908,1708611798.2006989,1708611799.596111
0,1708611799.714725,1708611798.389265,1708611798.389265,1708611799.798112
0,1708611799.914498,1708611798.616298,1708611798.616298,1708611800.026335
0,1708611800.148704,1708611798.821618,1708611798.821618,1708611800.234337
0,1708611800.381509,1708611799.054674,1708611799.058488,1708611800.467739
0,1708611800.608921,1708611799.291617,1708611799.3106458,1708611800.712863
0,1708611800.850697,1708611799.642125,1708611799.650667,1708611801.04837
0,1708611801.188568,1708611799.861564,1708611799.8650968,1708611801.426169
0,1708611801.67157,1708611800.922911,1708611800.928369,1708611802.334414
0,1708611802.596915,1708611801.688657,1708611801.6929522,1708611803.141717
0,1708611803.279583,1708611802.199549,1708611802.207552,1708611803.611255
0,1708611803.725398,1708611802.396704,1708611802.410613,1708611804.111612
0,1708611804.43903,1708611803.468866,1708611803.4828522,1708611804.891638
0,1708611805.007267,1708611803.681774,1708611803.6849759,1708611805.088954
0,1708611805.223634,1708611803.899071,1708611803.91457,1708611805.314313
0,1708611805.447161,1708611804.146059,1708611804.1528502,1708611805.631135
0,1708611805.743748,1708611804.554981,1708611804.559323,1708611806.29651
0,1708611806.546359,1708611805.381142,1708611805.384451,1708611806.795924
0,1708611807.029923,1708611805.989919,1708611805.9966319,1708611807.394521
0,1708611807.533879,1708611806.206602,1708611806.2190351,1708611807.6183
0,1708611807.755713,1708611806.604843,1708611806.6177218,1708611808.023291
0,1708611808.161169,1708611806.834142,1708611806.841752,1708611808.254983
0,1708611808.396262,1708611807.217635,1708611807.221793,1708611808.63007
0,1708611808.769137,1708611807.442302,1708611807.450043,1708611808.868678
0,1708611808.994328,1708611807.83276,1708611807.846517,1708611809.256004
0,1708611809.395838,1708611808.072683,1708611808.0768862,1708611809.483103
0,1708611809.674673,1708611808.67964,1708611808.687726,1708611810.115747
0,1708611810.348167,1708611809.881561,1708611809.88499,1708611811.288525
0,1708611811.429903,1708611810.099902,1708611810.1038659,1708611811.522424
0,1708611811.654275,1708611810.495649,1708611810.5022671,1708611811.90794
0,1708611812.043947,1708611810.726289,1708611810.726289,1708611812.145322
0,1708611812.265816,1708611810.938459,1708611810.947063,1708611812.346201
0,1708611812.463886,1708611811.140732,1708611811.1527112,1708611812.557072
0,1708611812.691264,1708611811.377467,1708611811.377467,1708611812.783405
0,1708611812.909621,1708611811.590537,1708611811.600505,1708611812.992672
0,1708611813.129218,1708611811.803335,1708611811.809963,1708611813.223031
0,1708611813.369525,1708611812.047053,1708611812.057111,1708611813.463586
0,1708611813.601123,1708611812.722959,1708611812.7312632,1708611814.221023
0,1708611814.464433,1708611813.361812,1708611813.365714,1708611814.88115
0,1708611815.10769,1708611813.976735,1708611813.982057,1708611815.38735
0,1708611815.504374,1708611814.189304,1708611814.2063591,1708611815.614331
0,1708611815.748963,1708611814.591614,1708611814.598232,1708611815.997524
0,1708611816.14278,1708611814.818707,1708611814.833294,1708611816.230045
0,1708611816.359271,1708611815.036737,1708611815.044702,1708611816.452047
0,1708611816.574549,1708611815.249121,1708611815.253401,1708611816.664032
0,1708611816.808462,1708611815.614216,1708611815.622827,1708611817.030209
0,1708611817.171673,1708611815.844501,1708611815.855093,1708611817.252689
0,1708611817.400345,1708611816.229541,1708611816.232845,1708611817.636862
0,1708611817.822677,1708611816.638639,1708611816.650042,1708611818.059136
0,1708611818.245788,1708611816.918657,1708611816.9272401,1708611818.394721
0,1708611818.649045,1708611817.480534,1708611817.491218,1708611818.890266
0,1708611819.118631,1708611818.085829,1708611818.092758,1708611819.539808
0,1708611819.749402,1708611818.481497,1708611818.497706,1708611819.941591
0,1708611820.083713,1708611818.890874,1708611818.894002,1708611820.292166
0,1708611820.434643,1708611819.1177,1708611819.1252892,1708611820.535309
0,1708611820.682181,1708611819.50632,1708611819.518009,1708611820.92977
0,1708611821.084759,1708611819.915741,1708611819.922431,1708611821.333989
0,1708611821.486355,1708611820.325397,1708611820.332075,1708611821.742135
0,1708611821.94178,1708611820.939632,1708611820.946246,1708611822.348513
0,1708611822.598908,1708611822.168802,1708611822.173009,1708611823.587703
0,1708611823.75089,1708611822.575508,1708611822.5881681,1708611823.987728
0,1708611824.138442,1708611822.811852,1708611822.815543,1708611824.854205
0,1708611824.999423,1708611824.011546,1708611824.0244708,1708611825.430237
0,1708611825.584374,1708611824.42142,1708611824.42142,1708611825.837624
0,1708611826.105257,1708611825.775909,1708611825.780035,1708611827.192586
0,1708611827.423074,1708611826.26461,1708611826.273082,1708611827.682709
0,1708611827.828569,1708611826.502054,1708611826.502054,1708611827.909485
0,1708611828.046361,1708611826.718999,1708611826.7273748,1708611828.131001
0,1708611828.264107,1708611826.939265,1708611826.94566,1708611828.351086
0,1708611828.478432,1708611827.153734,1708611827.153734,1708611828.555263
0,1708611828.696739,1708611827.49408,1708611827.497498,1708611828.904303
0,1708611829.054505,1708611827.90323,1708611827.908817,1708611829.311979
0,1708611829.42805,1708611828.098582,1708611828.102273,1708611829.520057
0,1708611829.653566,1708611828.33005,1708611828.33949,1708611829.738487
0,1708611829.861159,1708611828.543661,1708611828.5504441,1708611829.947725
0,1708611830.076168,1708611828.927128,1708611828.9384701,1708611830.431751
0,1708611830.658629,1708611829.541316,1708611829.541316,1708611830.950576
0,1708611831.157648,1708611830.052943,1708611830.065839,1708611831.538448
0,1708611831.743322,1708611830.565868,1708611830.570102,1708611831.981632
0,1708611832.131556,1708611830.803074,1708611830.8169029,1708611832.227994
0,1708611832.35432,1708611831.033072,1708611831.043192,1708611832.442722
0,1708611832.58236,1708611831.254272,1708611831.254272,1708611832.656464
0,1708611832.78409,1708611831.589455,1708611831.6009128,1708611833.016345
0,1708611833.255513,1708611831.997079,1708611832.002085,1708611833.511189
0,1708611833.631804,1708611832.305006,1708611832.317718,1708611833.726831
0,1708611833.845294,1708611832.51687,1708611832.523881,1708611833.985618
0,1708611834.398427,1708611833.465745,1708611833.4769669,1708611834.88652
0,1708611835.118589,1708611834.456703,1708611834.470644,1708611835.907364
0,1708611836.040492,1708611834.866498,1708611834.881914,1708611836.282885
0,1708611836.41051,1708611835.082729,1708611835.102087,1708611836.498034
0,1708611836.624948,1708611835.299084,1708611835.302736,1708611836.711278
0,1708611836.844178,1708611835.685518,1708611835.693988,1708611837.090148
0,1708611837.229205,1708611835.902257,1708611835.9108229,1708611837.313023
0,1708611837.453392,1708611836.300742,1708611836.3061879,1708611837.703779
0,1708611837.841343,1708611836.515085,1708611836.518739,1708611837.922511
0,1708611838.049744,1708611836.729382,1708611836.733473,1708611838.144709
0,1708611838.42466,1708611837.529187,1708611837.529187,1708611839.001034
0,1708611839.123315,1708611837.938286,1708611837.9496121,1708611839.442099
0,1708611839.57313,1708611838.349284,1708611838.349284,1708611839.76303
0,1708611839.899916,1708611838.570604,1708611838.5769792,1708611840.068641
0,1708611840.242675,1708611838.96135,1708611838.9683979,1708611840.419664
